               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12148,            0.059973,                   0,           0.0023042,            0.056164,           0.0012863,          0.00032262,             0.11623,            0.054797,                   0,            0.070037,           0.0033292,           0.0033292
                   1,             0.11362,             0.05691,                   0,            0.082826,              0.1112,            0.021909,           0.0060937,             0.10648,            0.062726,                   0,            0.039971,           0.0065966,           0.0065966
                   2,              0.1053,            0.055823,                   0,             0.13906,            0.091026,            0.041156,            0.012075,             0.10305,            0.053322,                   0,           0.0098393,           0.0097979,           0.0097979
                   3,             0.10091,            0.056151,                   0,             0.19218,             0.14298,            0.080503,            0.026807,            0.096142,            0.051162,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.098385,             0.05548,                   0,             0.21639,             0.16708,            0.093663,            0.031066,            0.094224,            0.051028,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.097049,            0.055526,                   0,             0.22771,             0.17643,             0.10638,            0.036205,             0.09307,            0.051158,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.095744,            0.055649,                   0,             0.23527,              0.1895,             0.10718,            0.034145,            0.091773,            0.051494,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.094789,            0.055972,                   0,             0.23921,             0.18554,             0.11434,            0.035505,            0.091716,            0.051521,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.094191,            0.055675,                   0,             0.25189,             0.19116,              0.1168,             0.03763,            0.091421,            0.051854,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.093245,            0.055393,                   0,             0.26586,             0.20287,             0.13369,            0.046839,            0.090058,            0.051035,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.093065,             0.05539,                   0,             0.27135,             0.20677,             0.13614,            0.045364,            0.089479,            0.050995,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.092242,            0.054546,                   0,              0.2867,             0.21786,             0.14295,            0.048873,            0.089115,            0.050803,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.091928,              0.0554,                   0,              0.2814,             0.20708,             0.13942,            0.047495,            0.088987,            0.051863,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.091546,            0.055719,                   0,             0.28811,             0.21511,             0.14208,            0.048501,            0.088693,            0.051431,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.090638,            0.055313,                   0,             0.29566,              0.2171,             0.14765,            0.051558,            0.088438,            0.051363,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.090679,            0.054855,                   0,             0.30761,             0.21869,             0.15848,            0.055991,            0.087877,             0.05108,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.089758,            0.053619,                   0,             0.30766,             0.22131,             0.15667,            0.054765,            0.087659,            0.051615,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.090056,             0.05491,                   0,             0.31604,             0.22597,             0.16051,            0.056741,            0.087258,             0.05176,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.089235,            0.055193,                   0,             0.33861,             0.22783,             0.17098,            0.060489,            0.087071,            0.051413,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.089183,            0.055397,                   0,              0.2955,             0.22093,             0.15747,            0.056537,            0.087445,            0.052124,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.089195,            0.054848,                   0,             0.31539,             0.22901,             0.16475,            0.058099,            0.087074,            0.051589,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.088882,            0.055122,                   0,             0.32896,             0.22786,             0.16774,            0.061656,            0.086623,            0.051746,                   0,             0.00802,             0.00802,             0.00802
                  22,             0.08857,            0.054466,                   0,             0.32265,             0.22979,               0.168,            0.059575,            0.086679,            0.052028,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.088043,            0.054316,                   0,             0.31865,             0.22146,             0.16493,            0.059406,            0.086798,            0.052052,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.088156,            0.054367,                   0,               0.321,             0.22806,             0.16463,            0.059757,            0.086292,            0.051864,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.088624,            0.055446,                   0,             0.35068,             0.23848,              0.1832,            0.068046,            0.086031,            0.051173,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.087721,            0.054441,                   0,             0.36299,             0.24226,             0.19263,            0.071571,            0.085177,            0.050897,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.087619,            0.055015,                   0,             0.35512,             0.23581,             0.18721,            0.069261,            0.085624,            0.051791,                   0,            0.007426,            0.007426,            0.007426
                  28,             0.08744,            0.055434,                   0,             0.33611,             0.22627,             0.17074,            0.062307,            0.086375,            0.052407,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.087165,            0.053365,                   0,             0.35449,              0.2405,             0.18586,            0.067629,            0.085342,            0.051696,                   0,            0.007228,            0.007228,            0.007228
                  30,             0.08737,             0.05385,                   0,             0.36446,              0.2442,             0.19223,             0.07134,             0.08525,            0.051472,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.086663,            0.054998,                   0,             0.35194,             0.23505,             0.18004,            0.067788,            0.085359,            0.052178,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.086755,            0.054302,                   0,             0.38202,             0.24853,             0.19982,            0.074446,            0.084399,            0.051335,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.086295,            0.054348,                   0,             0.35959,             0.24211,             0.18687,            0.067825,            0.084856,               0.052,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.086698,            0.055972,                   0,             0.36108,             0.25012,             0.19463,            0.072628,            0.084683,            0.051439,                   0,            0.006733,            0.006733,            0.006733
